name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_km_per_ltr,engine,max_power_bhp,seats,brand,car_age,brand_category,km_per_year,price_per_km,power_to_engine_ratio
Maruti Swift Dzire VDI,450000,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,10,Non-Luxury,14550.0,3.0927835051546393,0.05929487179487179
Skoda Rapid 1.5 TDI Ambition,370000,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,Skoda,10,Non-Luxury,12000.0,3.0833333333333335,0.06910547396528705
Honda City 2017-2020 EXi,158000,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,Honda,18,Non-Luxury,7777.777777777777,1.1285714285714286,0.052104208416833664
Hyundai i20 Sportz Diesel,225000,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai,14,Non-Luxury,9071.42857142857,1.7716535433070866,0.06446991404011461
Maruti Swift VXI BSIII,130000,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,Maruti,17,Non-Luxury,7058.823529411765,1.0833333333333333,0.0679506933744222
Hyundai Xcent 1.2 VTVT E Plus,440000,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai,7,Non-Luxury,6428.571428571428,9.777777777777779,0.0683876357560568
Maruti Wagon R LXI DUO BSIII,96000,175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,Maruti,17,Non-Luxury,10294.117647058823,0.5485714285714286,0.05419415645617342
Maruti 800 DX BSII,45000,5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti,23,Non-Luxury,217.3913043478261,9.0,0.04648241206030151
Toyota Etios VXD,350000,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,Toyota,13,Non-Luxury,6923.076923076923,3.888888888888889,0.04919354838709677
Ford Figo Diesel Celebration Edition,200000,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,Ford,11,Non-Luxury,15363.636363636364,1.183431952662722,0.04867762687634024
Renault Duster 110PS Diesel RxL,500000,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault,10,Non-Luxury,6800.0,7.352941176470588,0.0742299794661191
Maruti Zen LX,92000,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,19,Non-Luxury,5263.1578947368425,0.92,0.06042296072507553
Maruti Swift Dzire VDi,280000,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,Maruti,15,Non-Luxury,9333.333333333334,2.0,0.059214743589743594
Maruti Swift 1.3 VXi,200000,80000.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,81.83,5.0,Maruti,17,Non-Luxury,4705.882352941177,2.5,0.06836257309941521
Maruti Wagon R LXI Minor,180000,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti,15,Non-Luxury,6000.0,2.0,0.06314797360980208
Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,Mahindra,8,Non-Luxury,5000.0,10.0,0.06844741235392321
Maruti Ertiga SHVS VDI,778000,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,Maruti,8,Non-Luxury,8750.0,11.114285714285714,0.07091346153846154
Hyundai i20 1.4 CRDi Asta,500000,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,Hyundai,12,Non-Luxury,4416.666666666667,9.433962264150944,0.06446991404011461
Maruti Alto LX,150000,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti,22,Non-Luxury,3636.3636363636365,1.875,0.05816582914572864
